PG.ProteinGroups,PG.Genes,Brain_C9FTLD_TDP_1,Brain_C9FTLD_TDP_2,Brain_C9FTLD_TDP_3,Brain_C9FTLD_TDP_4,Brain_C9FTLD_TDP_5,Brain_C9FTLD_TDP_6,Brain_C9FTLD_TDP_7,Brain_C9FTLD_TDP_8,Brain_C9FTLD_TDP_9,Brain_C9FTLD_TDP_10,Brain_Control_1,Brain_Control_2,Brain_Control_3,Brain_Control_4,Brain_Control_5,Brain_Control_6,Brain_Control_7,Brain_Control_8,Brain_Control_9,Brain_Control_10,[6] 131115P.PG.Quantity,[16] 131118P.PG.Quantity,[26] 4900020P.PG.Quantity,[31] 4900056P.PG.Quantity,[5] 131115C.PG.Quantity,[11] 131118C.PG.Quantity,[21] 4900020C.PG.Quantity,[31] 4900056C.PG.Quantity
P16083;P16083,NQO2,83567.41406,57671.04688,160009.3125,97195.28125,60050.62109,133358.25,199352.3281,114976.1328,276958.4063,165674.4688,192444.2188,207088.0625,176415.2188,26816.96875,191468.7656,149323.8281,227627.1875,123047.6797,69153.04688,146326.3906,22100.95508,2090.721924,11396.34521,4066.707031,,4095.868286,7422.13916,
P16104;P16104,H2AX,6978.842285,5149.063477,8875.325195,11188.90527,2967.195068,NaN,12222.35449,NaN,8413.55957,11368.31543,12170.68262,8046.427734,1975.378662,NaN,17300.53125,6319.506836,7217.70166,NaN,9667.560547,11199.07422,,,,,,,,
P16109;P16109,SELP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6271.118164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,131125.1465,53392.57129,35840.47363,34157.02686,1625.621216,923.850708,,
P16112;P16112,ACAN,19247.75977,23890.29883,117723.8125,94482.05469,30379.03906,82097.89844,69196.02344,33116.57031,56674.69141,64721.71484,115860.5469,85547.66406,42144.28516,43794.72266,121897.1875,95301.35938,88964.47656,89160.46094,39773.07422,109900.4531,32547.96338,38647.54126,29742.49219,47979.05469,42542.11621,44908.44751,32836.55273,29297.90234
P16144;P16144,ITGB4,9559.225586,7934.183594,24840.53125,25327.71094,17390.23438,36031.82031,57070.8125,29137.06055,37255.48828,34719.16016,18392.71484,23969.36133,14696.24121,9293.386719,18405.56055,5912.82959,34428.66016,16567.39453,33860.64453,36785.94922,,685.9771118,,,17451.13904,3920.177002,1571.351318,2057.950684
P16150;P16150,SPN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,75397.20361,27224.89917,14630.01709,9216.216064,,,,
P16152;P16152,CBR1,348410.0625,357266.2188,2085079.125,1493779.25,750098.8125,1382291,1604052.625,920503.8125,2755797.75,920105.8125,1525440.875,2322049.25,864917.5,2088198.625,1922397.875,1214616.25,2252481.25,961265.1875,1257956.25,1991437.75,11979.12866,12099.42444,4106.031128,2648.942078,25612.96704,26557.21899,25481.99866,30471.57678
P16157;P16157,ANK1,9522.982422,5562.577148,13843.09863,29410.70898,7410.330078,23452.02148,29869.50781,10837.92285,34956.89453,70117.11719,22274.875,27474.98828,51399.38672,25195.83203,37824.85547,23104.42188,18910.04297,28891.30664,33809.07031,30414.0293,75250.58594,61781.92383,158501.5518,71150.49756,,,,
P16219;P16219,ACADS,46332.85547,46274.49609,135161.7813,187221.2188,67826.90625,184103.4219,123289.2734,112647.625,90605.88281,156556.5469,146804.4844,174867.1563,116816.1641,169194.5313,203167.7188,127613.3281,126209.9609,125828.4844,83415.79688,41505.52344,5539.507568,14870.32764,,,,,,
P16220;P16220,CREB1,4120.089355,5113.483887,27785.95313,13151.96582,5652.765625,7786.19043,NaN,3459.084717,NaN,18293.13672,20988.76953,14477.41309,13749.48145,15367.38672,19858.28711,NaN,8728.341797,17654.20508,24045.2793,NaN,,,,,,,,
P16233;P16233,PNLIP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8093.373779,9091.777344,24040.50977,14593.96069,,,,
P16234;P16234,PDGFRA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,,,,5354.576782,5371.547852,8028.531494,2370.798462
P16260;P16260,SLC25A16,3409.041748,NaN,13032.66797,19972.96094,7296.27832,NaN,NaN,4367.837402,NaN,NaN,NaN,NaN,NaN,1580.642578,NaN,NaN,NaN,12640.73828,NaN,NaN,,,,,,,,
